brand,model,price_min,price_max,range_cltc,battery_type,battery_capacity,axis_length,length,width,height,drive_type,acceleration,ad_level,safety_features,selling_points
比亚迪,海鸥,6.98,8.98,405,磷酸铁锂,38.88,2500,3780,1715,1540,前驱,4.9,L2,主副驾安全气囊、ESP、胎压监测,刀片电池、代步成本低
比亚迪,海豚,9.98,12.98,420,磷酸铁锂,44.9,2700,4290,1770,1570,前驱,7.5,L2,6安全气囊、ESP、AEB自动紧急制动,热泵空调、e平台3.0
比亚迪,元PLUS,11.98,14.78,510,磷酸铁锂,60.48,2720,4455,1875,1615,前驱,7.3,L2,6安全气囊、ESP、DiPilot辅助驾驶,刀片电池、紧凑级空间利用率高
比亚迪,秦PLUS EV,10.98,13.98,510,磷酸铁锂,57.6,2718,4765,1837,1515,前驱,7.9,L2,6安全气囊、ESP、胎压监测,刀片电池、家用性价比高
比亚迪,秦L EV,11.98,15.98,545,磷酸铁锂,56.64,2820,4720,1880,1495,后驱,7.5,L2,6安全气囊、天神之眼C、AEB,后驱平台、545km续航
比亚迪,宋PLUS EV,13.98,16.98,520,磷酸铁锂,71.8,2765,4785,1890,1670,前驱,8.5,L2,6安全气囊、ESP、AEB,SUV空间、家用口碑好
比亚迪,宋L EV,18.98,24.98,662,磷酸铁锂,87.04,2930,4840,1950,1560,后驱,6.9,L2,6安全气囊、DiPilot、360全景影像,刀片电池、猎装造型
比亚迪,海豹,17.98,24.98,550,磷酸铁锂,61.4,2920,4800,1875,1460,后驱,7.5,L2,6安全气囊、CTB车身、ESP,刀片电池、CTB车身一体化
比亚迪,汉EV,20.98,27.98,701,磷酸铁锂,85.4,2920,4995,1910,1495,前驱,7.9,L2,6安全气囊、DiPilot、AEB,旗舰轿车、续航长
比亚迪,唐EV,23.98,33.98,730,磷酸铁锂,108.8,2820,4900,1950,1725,四驱,4.4,L2,6安全气囊、DiPilot、360全景影像,七座可选、四驱性能强
比亚迪,海狮07 EV,18.98,23.98,610,磷酸铁锂,80.64,2930,4830,1925,1620,后驱,6.7,L2,6安全气囊、天神之眼、AEB,CTB技术、快充能力强
小米,SU7,21.59,29.99,700,磷酸铁锂,73.6,3000,4997,1963,1455,后驱,5.28,L2+,小米Pilot、6安全气囊、AEB,小米生态、智能座舱
小米,YU7,25.35,32.99,835,三元锂,96.3,3000,4999,1996,1608,四驱,3.23,L2+,小米Pilot、6安全气囊、AEB,中大型SUV、835km续航
特斯拉,Model 3,23.55,33.95,634,磷酸铁锂,62.5,2875,4720,1848,1442,后驱,6.1,L2,Autopilot、8安全气囊、AEB,品牌保值率、超充网络
特斯拉,Model Y,26.35,36.35,593,磷酸铁锂,62.5,2890,4797,1920,1624,后驱,5.9,L2,Autopilot、8安全气囊、AEB,SUV销量标杆、超充网络
蔚来,ET5,29.80,35.60,560,三元锂,75.0,2888,4790,1960,1499,四驱,4.0,L2,8安全气囊、NOP+、AEB,可换电、四驱性能强
蔚来,ES6,33.80,39.60,625,三元锂,75.0,2915,4854,1995,1703,四驱,4.5,L2,8安全气囊、NOP+、AEB,换电补能、服务权益
乐道,L60,20.69,25.59,555,磷酸铁锂,60.0,2950,4828,1930,1616,后驱,5.9,L2,7安全气囊、AEB、L2辅助驾驶,可换电、大五座空间
小鹏,MONA M03,11.98,15.58,515,磷酸铁锂,51.8,2815,4780,1896,1445,前驱,7.4,L2,6安全气囊、AEB、XNGP基础版,智驾下放、价格亲民
小鹏,P7+,18.68,21.88,710,磷酸铁锂,76.3,3000,5056,1937,1512,后驱,5.9,L2+,XNGP、6安全气囊、AEB,中大型尺寸、智驾能力强
小鹏,G6,17.68,19.88,625,磷酸铁锂,66.0,2890,4758,1920,1650,后驱,6.7,L2+,XNGP、6安全气囊、AEB,800V快充、智驾性价比
小鹏,G9,24.88,27.88,625,磷酸铁锂,79.0,2998,4891,1937,1680,后驱,6.4,L2+,XNGP、8安全气囊、AEB,800V超快充、中大型SUV
小鹏,X9,35.98,41.98,610,磷酸铁锂,84.5,3160,5293,1988,1785,前驱,7.7,L2+,XNGP、多安全气囊、AEB,MPV大空间、后轮转向
理想,L6,24.98,27.98,1390,三元锂,36.8,2920,4925,1960,1735,四驱,5.4,L2,9安全气囊、AEB、L2辅助驾驶,增程式（纯电212km）、大五座
理想,L7,30.18,37.98,1360,三元锂,42.8,3005,5050,1995,1750,四驱,5.3,L2,9安全气囊、AEB、L2辅助驾驶,增程式（纯电225km）、座椅舒适
理想,L9,40.98,43.98,1412,三元锂,52.3,3105,5218,1998,1800,四驱,5.3,L2,9安全气囊、AEB、L2辅助驾驶,增程式（纯电215km）、六座家庭
理想,MEGA,52.98,55.98,710,三元锂,102.7,3300,5350,1965,1850,四驱,5.5,L2,9安全气囊、AEB、L2辅助驾驶,纯电MPV、5C超充
问界,M5,22.98,27.98,1440,三元锂,42.0,2880,4785,1930,1625,四驱,4.4,L2+,华为ADS、多安全气囊、AEB,增程式（纯电230km）、华为智驾
问界,M7,24.98,32.98,1300,三元锂,42.0,2820,5020,1945,1760,后驱,4.8,L2+,华为ADS、8安全气囊、AEB,增程式（纯电240km）、六座可选
问界,M9,46.98,56.98,1402,三元锂,52.0,3110,5230,1999,1800,四驱,4.3,L2+,华为ADS、9安全气囊、AEB,增程式（纯电290km）、旗舰六座
智界,R7,24.98,33.98,802,三元锂,82.0,2950,4956,1981,1634,后驱,5.9,L2+,华为ADS、多安全气囊、AEB,纯电802km、华为智驾
智界,S7,22.98,28.98,705,磷酸铁锂,82.0,2950,4971,1963,1472,后驱,5.4,L2+,华为ADS、多安全气囊、AEB,800V平台、华为座舱
极氪,007,20.99,29.99,688,磷酸铁锂,75.0,2928,4865,1900,1450,后驱,5.4,L2,6安全气囊、NZP、AEB,800V快充、操控好
极氪,7X,22.99,26.99,605,磷酸铁锂,75.0,2925,4825,1930,1656,后驱,6.8,L2,6安全气囊、NZP、AEB,SUV空间、800V平台
极氪,001,26.90,32.90,750,三元锂,100.0,3005,4977,1999,1560,后驱,4.9,L2,6安全气囊、NZP、AEB,猎装车身、续航长
极氪,X,18.98,22.98,560,磷酸铁锂,66.0,2750,4450,1836,1572,后驱,5.8,L2,6安全气囊、AEB、L2辅助驾驶,紧凑豪华、设计个性
零跑,C10,12.88,16.88,530,磷酸铁锂,69.9,2825,4739,1900,1680,后驱,7.3,L2,6安全气囊、AEB、L2辅助驾驶,同价位空间大、配置高
零跑,C11,14.98,18.98,580,磷酸铁锂,78.5,2930,4750,1905,1675,后驱,7.5,L2,6安全气囊、AEB、L2辅助驾驶,中型SUV、性价比高
